Site Num,Latitude,Longitude,State,Time Zone,Annual NO2 Average
87_1,39.787933,-86.13088,IN,America/Indiana/Indianapolis,12.39672948860044
87_2,32.676451,-96.87206,TX,America/Chicago,5.821823159856733
30_1,41.603159,-93.643118,IA,America/Chicago,5.517344514368923
30_2,39.055277,-76.878333,MD,America/New_York,5.346401238035966
30_3,41.829495,-71.417457,RI,America/New_York,15.773690613117722
30_4,47.597222,-122.319722,WA,America/Los_Angeles,16.919810053421518
17_1,38.45934,-82.64041,KY,America/New_York,4.9102262497198375
17_2,44.657014,-111.089618,MT,America/Denver,1.6866004791687217
67_0,38.22876,-85.65452,KY,America/Kentucky/Louisville,8.873262881359237
75_1,38.1936,-85.7119,KY,America/Kentucky/Louisville,14.259273787018971
75_2,36.270592,-115.238282,NV,America/Los_Angeles,7.396439803682264
75_3,40.054171,-74.985166,PA,America/New_York,13.70697044494704
75_4,32.919206,-96.808498,TX,America/Chicago,5.279890532110362
75_5,32.987891,-97.477175,TX,America/Chicago,5.010431582625291
75_6,35.151699,-89.850249,TN,America/Chicago,5.253800489365707
1024_0,37.05822,-88.57251,KY,America/Chicago,4.395694463463051
1100_0,46.696431,-68.033006,ME,America/New_York,1.932548732056756
29_1,43.660246,-70.268965,ME,America/New_York,6.285878165839784
29_2,35.01708,-106.65739,NM,America/Denver,7.878150350268062
29_3,30.039524,-95.673951,TX,America/Chicago,3.9523140671110752
40_1,39.297733,-76.604603,MD,America/New_York,11.490853234203732
40_2,39.12886,-84.50404,OH,America/New_York,8.691112088002628
40_3,36.1424,-86.7341,TN,America/Chicago,13.179612628812876
2006_1,42.474642,-70.970816,MA,America/New_York,4.078664062228466
2006_2,41.442778,-75.623056,PA,America/New_York,8.665684186610816
3003_0,42.211774,-71.11397,MA,America/New_York,2.91375973218454
42_1,42.3295,-71.0826,MA,America/New_York,9.123053327904357
42_2,39.047911,-94.450513,MO,America/Chicago,10.288674261378258
44_1,42.325186,-71.056061,MA,America/New_York,12.614190184342334
44_2,31.765685,-106.455227,TX,America/Denver,12.230434633534069
44_3,40.961017,-73.139046,NY,America/New_York,3.3922520091299857
93_0,42.385998,-83.266189,MI,America/Detroit,14.382382832431146
94_1,42.386811,-83.270506,MI,America/Detroit,
94_2,38.63114,-90.28115,MO,America/Chicago,9.199184549374543
95_0,42.421502,-83.425042,MI,America/Detroit,10.09160260472857
98_0,42.312158,-83.091943,MI,America/Detroit,13.075539959226262
99_1,42.295824,-83.129431,MI,America/Detroit,12.64035108862403
99_2,42.529999,-108.720003,WY,America/Denver,0.43906179549168795
99_3,42.719,-109.753,WY,America/Denver,0.47079883866369876
100_1,42.312078,-83.103469,MI,America/Detroit,12.07902426947772
